collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
127815,col,,129.5,-2.8,"Wahai, loc. 58, Ceram",,,6,Pleistocene,,2.588,0.0117,Umbgrove,1924,41777,ID,Maluku,,based on nearby landmark,minutes,outcrop,"loc. 58 of Rutten, 20 m high raised reef near the shore",gp_mid,129.71,-3.38,682,ID,,,,,group of beds,,,,,,,,probably Pleistocene,,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
127816,col,,129.483337,-2.816667,"S Wahai, loc. 5 and 7, Ceram",,,2,Pliocene,,5.333,2.588,Umbgrove,1924,41777,ID,Maluku,,estimated from map,minutes,outcrop,"loc. 5 and 7 of Rutten, S of Wahai",gp_mid,130.34,-5.16,682,ID,,,,,group of beds,,,,,,,,probably Pliocene,,limestone,,,,,marl,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
130581,col,,17.25,40.5,"Santa Teresiola, Taranto",,,1,Late Pleistocene,,0.126,0.0117,Peirano et al.,2004,58200,IT,Apulia,,based on nearby landmark,minutes,small collection,"Santa Teresiola, a fossil bank located on a raised marine terrace 12 m above mean sea-level, Mar Piccolo of Taranto",gp_mid,17.25,40.5,307,IT,,,,,bed,,,,,,,,different U/Th datings and correlation with nearest deposits suggest that the reef\r\nbelongs to the MIS 5.5,"The bank (or ""open frame reef"") is formed by numerous, contiguous colonies of coral embedded in a sandy matrix up to 1 m high covering a surface of nearly 0.6 km².",limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
130870,col,Ford,-1.407,54.890999,"Humbleton Hill, Durham (Howse coll)",,,1,Wuchiapingian,,259.9,254.17,Howse,1848,42305,UK,,,based on nearby landmark,3,outcrop,,gp_mid,21.1,27.28,315,UK,,Ford,,,group of beds,,,,,,,,,"Hill is composed of porous limestone, full of casts of shells, and marine remains, and has no marks of stratification.  Colour, cream-yellow, here and there tinged ochre-yellow, and in one or two points I observed points of peach-blossom red.  51.5% ""carbonate of lime"", 44.8% ""carbonate of magnesia"".",reef rocks,"dolomitic,white,yellow",lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"cast,mold/impression",,,,,,,,,,,,,taxonomic,field collection,,,,,,,"Repository: Howse collection, Hancock Museum, Newcastle-upon-Tyne.  Specimens later figured by Davidson (1858) were as of 1963 in Geological Survey Museum, London.",
131977,col,Upper Coralline Limestone,14.333333,35.933334,Golden Bay,,Reef 712,4,Messinian,,7.246,5.333,Gatt and de Angeli,2010,42540,MT,,,based on nearby landmark,minutes,local area,"detached cliff sections and scree material, primarily from a tract of coastline between Ghajn Znuber and Golden Bay",gp_mid,,,coordinates not computable using this model,MT,,Upper Coralline Limestone,,Tal Pitkal,group of beds,,,,,,,,"upper part of the Upper Coralline Limestone, termed as the Depiru Beds – a subdivision of the Tal-Pitkal Member",patch-reefs associated with intra-framework and fissure infill coarse-grained whitish sediments,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,open framework leeward ramp patch-reefs,macrofossils,,,,,,,,"body,cast,mold/impression",,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
133222,col,Nayband,58.084999,34.064999,"MI 2727, Ferdows patch reef, Hasan-Abad",,Reef 3478,14,Alaunian,Rhaetian,215.56,201.3,Shepherd et al.,2012,42877,IR,South Khorasan,,estimated from map,3,outcrop,,gp_mid,68.04,35.07,505,IR,,Nayband,,Howz-e-Khan,group of beds,,,,,,,,Units A and B (lower ~8 m) probably as old as mid-Norian but upper part of section likely Rhaetian.,"Reef carbonates with micritic matrix, gray in color with boundstone, floatstone, and packstone microfacies",bindstone,gray,lithified,,,floatstone,gray,lithified,,,"reef, buildup or bioherm",,"These reef communities formed small-scale biostromes and in some cases, larger bioherms situated on shallow carbonate ramps at depths at or slightly below the wave base.",macrofossils,,,,,,,,"body,recrystallized",,,,,,,,,,,,"The best preservation of scleractinian corals occurs in upper parts of study section, in stratigraphic units 7 and 9.",taxonomic,"peel or thin section,field collection",UMMP,,,,"F. Amirhassankani, A. Ghaderi, M. Kalani, M. Javanbakht",,,
133383,col,Swarzow Limestone,20.983334,50.166668,Dabrowa Tarnowska 4,,,1,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,small collection,borehole Dabrowa Tarnowska 4,gp_mid,30.46,34.81,305,PL,,Swarzow Limestone,,,bed,,,,,,,,,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133384,col,Swarzow Limestone,20.950001,50.183334,Swarzow 4,,,18,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Swarzow 4,gp_mid,30.43,34.82,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,770-640 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133386,col,Swarzow Limestone,20.950001,50.183334,Swarzow 3,,,11,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Swarzow 3,gp_mid,30.43,34.82,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,838-700 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133387,col,Swarzow Limestone,20.983334,50.166668,Dabrowa Tarnowska 1,,,5,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Dabrowa Tarnowska 1,gp_mid,30.46,34.81,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,855-727 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133390,col,Swarzow Limestone,20.950001,50.183334,"Swarzow 8, Swarzow Formation",,,7,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Swarzow 8,gp_mid,30.43,34.82,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,926-791 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133394,col,Swarzow Limestone,20.933332,50.233334,Dabrowki Brenskie 1,,,7,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Dabrowki Brenskie 1,gp_mid,30.4,34.86,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,738-556 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
133400,col,Swarzow Limestone,21,50.216667,Smegorzow 2,,,3,Tithonian,,152.1,145,Morycowa,2012,42953,PL,,,based on nearby landmark,minutes,outcrop,borehole Smegorzow 2,gp_mid,30.46,34.86,305,PL,,Swarzow Limestone,,,group of beds,,,,,,,,802-629 m,"coral-algal limestones; corals construct small but dense patches, constituting, perhaps, fragments of larger biostructures such as biostromes or bioherms",limestone,,lithified,,,,,,,,perireef or subreef,,carbonate platform of the N margin of the Tethys Ocean (Peri-Tethys),macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"core,peel or thin section,field collection",,some macrofossils,,,,,,"algae (green and red), sponges, bryozoans, brachiopods, echinoderms reported to be present, but not listed"
138315,col,Lalla Oujja ,-9.6,30.566668,"Reef unit 1, subunit 2",,,4,Late Oxfordian,,161.2,155.7,Olivier et al.,2012,44239,MA,,,estimated from map,minutes,outcrop,Western High Atlas. near the Jebel Taznakht,gp_mid,2.19,19.05,707,MA,,Lalla Oujja ,,,,,Izwarn section,2,bottom to top,,,,,"Massive bioconstruction, mainly made of corals and microbialites and can be laterally followed over few hundreds of metres, without any lateral thickness variations. Prior to realisation of a framework in the reef unit 1, the section reveals three successive 10-20 cm-thick bioclastic subunits, rich in echinoderms.",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"The section is situated in the southern part of the El Jadida-Agadir basin, delimited to the north by the Jbilet Massif, to the east by the Paleozoic Massifs of the High Atlas, to the south by the Souss Plain, and to the west by the Atlantic Ocean. ",mesofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138316,col,Lalla Oujja ,-9.6,30.566668,Reef unit 2,,,16,Late Oxfordian,,161.2,155.7,Olivier et al.,2012,44239,MA,,,estimated from map,minutes,outcrop,Western High Atlas. near the Jebel Taznakht,gp_mid,2.19,19.05,707,MA,,Lalla Oujja ,,,group of beds,,Izwarn section,1,bottom to top,,,,Kimmeridgian. Bimammatum - Planula interval. ,Massive bioconstruction also made of corals and microbialites. ,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"This reef unit 2 is laterally continuous over several hundred of metres and does not seem to display lateral thickness variations. Neither inter-reef nor lateral-reef sediments areas were observed. \r\nIt is overlain by a massive, peloidal, reef clast grainstone-rudstone (locally packstone) 80 cm thick. ","macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138400,col,,15.45,40.483334,"Sant' Arsenio 3, CA assemblage",,,1,Late Santonian,Early Campanian,85.8,70.6,Cestari and Laviano,2012,44299,IT,,Sant'Arsenio,stated in text,minutes,outcrop,,gp_mid,21.52,24.93,307,IT,,,,,member,,Carmelo Mt.,3,bottom to top,,,,Latest Santonian -early Campanian,Rudists are largely dominant and form biostromes that interfinger with bioclastic grainstone. Rudist-rich bodies up to 3 m thick,reef rocks,,lithified,,,grainstone,,lithified,,,"reef, buildup or bioherm",,The uppermost portion of the succession (70 m thick).,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138438,col,Lalla Oujja ,-9.6,30.566668,"Reef unit 1, subunit 3",,,5,Late Oxfordian,,161.2,155.7,Olivier et al.,2012,44239,MA,,,estimated from map,minutes,outcrop,Western High Atlas. near the Jebel Taznakht,gp_mid,2.19,19.05,707,MA,,Lalla Oujja ,,,,,Izwarn section,3,bottom to top,,,,,"10-20 cm-thick bioclastic subunit, rich in echinoderms.",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"The section is situated in the southern part of the El Jadida-Agadir basin, delimited to the north by the Jbilet Massif, to the east by the Paleozoic Massifs of the High Atlas, to the south by the Souss Plain, and to the west by the Atlantic Ocean. ",mesofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138439,col,Lalla Oujja ,-9.6,30.566668,"Reef unit 1, framework",,,9,Late Oxfordian,,161.2,155.7,Olivier et al.,2012,44239,MA,,,estimated from map,minutes,outcrop,Western High Atlas. near the Jebel Taznakht,gp_mid,2.19,19.05,707,MA,,Lalla Oujja ,,,,,,,,,,,,Framework.,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"The section is situated in the southern part of the El Jadida-Agadir basin, delimited to the north by the Jbilet Massif, to the east by the Paleozoic Massifs of the High Atlas, to the south by the Souss Plain, and to the west by the Atlantic Ocean. ",mesofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138574,col,Lalla Oujja ,-9.6,30.566668,"Reef unit 2, top of the reef",,,9,Late Oxfordian,,161.2,155.7,Olivier et al.,2012,44239,MA,,,estimated from map,minutes,outcrop,Western High Atlas. Near the Jebel Taznakht.,gp_mid,2.19,19.05,707,MA,,Lalla Oujja ,,,bed,,Izwarn section,2,bottom to top,,,,Kimmeridgian. Bimammatum - Planula interval. ,Massive bed. ,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"This reef unit 2 is laterally continuous over several hundred of metres and does not seem to display lateral thickness variations. Neither inter-reef nor lateral-reef sediments areas were observed. \r\nIt is overlain by a massive, peloidal, reef clast grainstone-rudstone (locally packstone) 80 cm thick. ","macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138588,col,Bortepa,74.73333,37.466667,Bortepa River Valley,,"Bortepa River Valley, Tajikistan",19,Rhaetian,,208.5,201.3,Melnikova,2001,35796,TJ,,Southeastern Pamir,estimated from map,minutes,outcrop,Position not exact,gp_mid,83.96,53.07,601,TJ,,Bortepa,,,member,,,,,,,,,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
138589,col,Bortepa,75,37.333332,Pordzhilga River Valley,,"Pordzhilga River Valley, Tajikistan",24,Rhaetian,,208.5,201.3,Melnikova,2001,35796,TJ,,Southeastern Pamir,estimated from map,minutes,outcrop,position not known,gp_mid,84.35,52.98,601,TJ,,Bortepa,,,member,,,,,,,,,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
138966,col,Nayband,52.033333,33.066666,"Isfahan Province, Bagher Abad village, Bidestan Member",,,4,Norian,,228,208.5,Mannani and Yazdi,2009,44657,IR,Isfahan,,stated in text,minutes,small collection,"15 km north-east of Bagher Abad village, north of Isfahan Province. ",gp_mid,60.81,21.16,512,IR,,Nayband,,,member,,,,,,,,"the Triassic deposits are overlain with a distinct angular unconformity by the Lower Cretaceous deposits, whereas Jurassic sediments are missing almost completely. The unit of conglomerate at the base of the Lower Cretaceous contains pebbles of carbonate and siliciclastic rocks without any sign of the Jurassic fossils.","Oolithic limestones, sandstones and reefal limestones with numerous algae, calcareous sponges and corals. ",limestone,,lithified,,,sandstone,,lithified,,,"reef, buildup or bioherm",,Bidestan Member is about 11m thick and it starts with oolitic limestones containing abundant spherical hydrozoan Heterastridium spp. indicating the Norian age. Biostromal bioconstructions are also present. Sponges and corals are the main reef building organisms in the biostromes,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
138967,col,Nayband,52.033333,33.066666,"Isfahan Province, Bagher Abad village, Howz-e-Khan Member",,,7,Norian,,228,208.5,Mannani and Yazdi,2009,44657,IR,Isfahan,,stated in text,minutes,small collection,"15 km north-east of Bagher Abad village, north of Isfahan Province. ",gp_mid,60.81,21.16,512,IR,,Nayband,,,member,,,,,,,,"the Triassic deposits are overlain with a distinct angular unconformity by the Lower Cretaceous deposits, whereas Jurassic sediments are missing almost completely. The unit of conglomerate at the base of the Lower Cretaceous contains pebbles of carbonate and siliciclastic rocks without any sign of the Jurassic fossils.","15 m thick, starts with a thick limestone bed. It contains abundant reef building organisms, as well as reef dwellers represented by echinoderms, bivalves, brachiopods and gastropods.",limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
139753,col,,21.796944,50.983334,Grobie,,,1,Neogene,,23.03,2.588,Muller,1996,44965,PL,,,,minutes,,Holy Cross Mountains,gp_mid,23.06,48.36,302,PL,,,,,,,,,,,,,,,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,,,,,,,
139925,col,Shaimak,73.635002,37.849998,"Karauldyndala, Southeast Pamir",,,1,Carnian,Norian,237,208.5,Melnikova,2001,35796,TJ,,,based on nearby landmark,seconds,local area,,gp_mid,80,45.62,601,TJ,,Shaimak,,,formation,,,,,,,,Upper Carnian to lower Norian age,40-200 m thick Shaimak Fm. with massiv light reef limestones,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
141050,col,,135.571671,44.551109,"Margarosmilia melnikovae Beds, near Dalnegorsk",,Reef 3415,9,Norian,,228,208.5,Punina,1997,15380,RU,Primorye,,based on nearby landmark,seconds,,Dalnegorsk Region,gp_mid,153.76,50.89,628,RU,,,,,,,,,,,,,,coral reef complex,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,survey of museum collection,,,,,,,,
141059,col,,135.571671,44.551109,"Gablonzeria kiparisovae Beds, near Dalnegorsk",,Reef 3415,7,Norian,,228,208.5,Punina,1997,15380,RU,Primorye,,based on nearby landmark,seconds,,Dalnegorsk Region,gp_mid,153.76,50.89,628,RU,,,,,,,,,,,,,,coral reef complex,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,survey of museum collection,,,,,,,,
141064,col,,135.571671,44.551109,"Meandrostylis tener Beds, near Dalnegorsk",,Reef 3415,5,Norian,,228,208.5,Punina,1997,15380,RU,Primorye,,based on nearby landmark,seconds,,Dalnegorsk Region,gp_mid,153.76,50.89,628,RU,,,,,,,,,,,,,,coral reef complex,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,survey of museum collection,,,,,,,,
141066,col,,135.571671,44.551109,"Retiophyllia buonamici Beds, near Dalnegorsk",,Reef 3415,4,Rhaetian,,208.5,201.3,Punina,1997,15380,RU,Primorye,,based on nearby landmark,seconds,,Dalnegorsk Region,gp_mid,167.37,58.64,628,RU,,,,,,,,,,,,,,coral reef complex,reef rocks,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,survey of museum collection,,,,,,,,
141544,col,Upper Coralline Limestone,14.383333,35.916668,"Crustose Pavement facies, Upper Coralline Limestone Fm.",,,1,Messinian,,7.246,5.333,Bosence,1983,45984,MT,,,estimated from map,minutes,local area,Malta / Gozo,gp_mid,,,coordinates not computable using this model,MT,,Upper Coralline Limestone,,,group of beds,,,,,,,,,,reef rocks,,,,,,,,,,"reef, buildup or bioherm",,"The 0.5 m to 4.5 m thick units contain 54% crustose coralline algae with micrite usually trapped between adjacent crusts. Commonly the leafy crusts develop branches on their upper surfaces. Faunal components in thin section are serpulid tubes and occasional homotrematid foraminifers. The macrofauna is dominated by both nestlers and encrusters. Bryozoa colonies are common, although ectoproctaliths are usually less than 7 mm in diameter. These are usually of celleporiform growth-form habit (up to 3.4 cm3 mean volume) and many have been basally attached to the algal pavement for most of their development. Fully developed Crustose Pavements have between 34% and 62% framework, between 6.4% and 15.5% crustose debris and between 23% and 57% matrix (medium sand to clay-grade debris). Within the framework occasional small crustose and concentric (perithallial) nodular growths are found.","mesofossils,microfossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,,,,,,,,,
141551,col,Upper Coralline Limestone,14.366667,35.916668," Rhodolith Pavement facies, Upper Coralline Limestone Fm.",,,2,Messinian,,7.246,5.333,Bosence,1983,45984,MT,,,estimated from map,minutes,outcrop,Malta / Gozo,gp_mid,,,coordinates not computable using this model,MT,,Upper Coralline Limestone,,,group of beds,,,,,,,,The strata are thought to be Messinian or possibly late Tortonian in age,rhodolith pavement; rhodoliths and wackestones,reef rocks,,,,,wackestone,,,,,"reef, buildup or bioherm",,"the most widespread facies, both vertically (0.4 m to 14 m) and laterally (up to 10 km). It is also within this facies that rhodoliths attain their greatest size, some having long axis dimensions in excess of 200 mm. The sediments consist of alternations of rhodoliths and wackestones as plane beds or cross beds (Fig.5C). Point counts from rhodolith beds have mean values of 49.5% rhodolith and 46% wackestone, comprising micrite and finely comminuted foraminifera, algal clasts and other debris.","mesofossils,microfossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,,,,,,,,,
144388,col,Luning,-118.014999,38.402,"Dunlap Canyon, north end of Pilot Mountains",,,1,Lacian,,221.5,215.56,Smith,1927,8858,US,Nevada,,based on nearby landmark,3,small collection,,gp_mid,-43.21,15.55,101,US,FED,Luning,,,bed,,,,,,,,,lower limestone near coral bed,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,,USNM,,,,,,,
144408,col,Chambara,-76.165001,-10.849,"AMNH1061, Cerro de Pasco",,,15,Norian,,228,208.5,Stanley,1994,9881,PE,,,stated in text,3,outcrop,"Likely from low hills between railroad and south side of highway, south of Cerro de Pasco, north of marsh along north shore of Lake Junin, central Peru.",gp_mid,-34.34,-22.74,201,PE,,Chambara,Pucara,,bed,,,,,,,,,thin lenticular beds or bedded lensoid bodies 0.5 to 15 m thick,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with silica",good,,,,,life position,,,,,occasional,,taxonomic,,AMNH,,,,"A.G. Fischer, Benevides",1969,,
144409,col,Chambara,-75.98333,-10.85,"84-SH-15, Shalypayco",,Reef 87,4,Norian,,228,208.5,Stanley,1994,9881,PE,,,stated in text,minutes,outcrop,"High ridge with radio antenna at 4720 m elevation. Along road leading to the abandoned Shalypayco mine, 16.5 km northwest of Ulcumayo and 11 km east of Carhuamayo and Lake Junin. 10 51' latitude, 75 59' longitude, or 396, 8800 of military coordinates on 1:100,000 Ulcomayo map sheet, HOJA 22-I.",gp_mid,-34.15,-22.73,201,PE,,Chambara,Pucara,,bed,,,,,,,,,23m of thin to thicker bedded limestone,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with silica",good,,,,,life position,,very poor,,,frequent,,taxonomic,chemical,,,,,"B. Senowbari-Daryan, G. Stanley",1984,,
144410,col,Chambara,-75.98333,-10.85,"84-SH-6, Shalypayco",,Reef 87,3,Norian,,228,208.5,Stanley,1994,9881,PE,,,stated in text,minutes,outcrop,"High ridge with radio antenna at 4720 m elevation. Along road leading to the abandoned Shalypayco mine, 16.5 km northwest of Ulcumayo and 11 km east of Carhuamayo and Lake Junin. 10 51' latitude, 75 59' longitude, or 396, 8800 of military coordinates on 1:100,000 Ulcomayo map sheet, HOJA 22-I.",gp_mid,-34.15,-22.73,201,PE,,Chambara,Pucara,,bed,,,,,,,,,23m of thin to thicker bedded limestone,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with silica",good,,,,,life position,,very poor,,,frequent,,taxonomic,chemical,,,,,"B. Senowbari-Daryan, G. Stanley",1984,,
144411,col,Chambara,-75.98333,-10.85,"84-SH-7, Shalypayco",,Reef 87,1,Norian,,228,208.5,Stanley,1994,9881,PE,,,stated in text,minutes,outcrop,"High ridge with radio antenna at 4720 m elevation. Along road leading to the abandoned Shalypayco mine, 16.5 km northwest of Ulcumayo and 11 km east of Carhuamayo and Lake Junin. 10 51' latitude, 75 59' longitude, or 396, 8800 of military coordinates on 1:100,000 Ulcomayo map sheet, HOJA 22-I.",gp_mid,-34.15,-22.73,201,PE,,Chambara,Pucara,,bed,,,,,,,,,23m of thin to thicker bedded limestone,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with silica",good,,,,,life position,,very poor,,,frequent,,taxonomic,chemical,,,,,"B. Senowbari-Daryan, G. Stanley",1984,,
145215,col,,117.366669,0.083333,"village of Bontang, Rainy Section",,,4,Burdigalian,Langhian,20.44,13.82,Di Martino and Taylor,2012,46963,ID,,,stated in text,minutes,outcrop,"near the village of Bontang (East Kalimantan, Indonesia). (0.096440°N; 117.380370°E) ",gp_mid,121.82,-0.06,620,ID,,,,,,,,,,,,,Burdigalian-Langhian boundary. Lower-Middle Miocen,,framestone,,,,,,,,,,"reef, buildup or bioherm",,"Colonies of Antoniettella exigua encrust the bases of platy or, less often, the branches of ramose scleractinian corals. A total of 125 colonies were obtained from two different types of samples: (1) bulk samples, collected directly from the outcrop from a framestone with thin platy and branching corals in a clay matrix; and (2) float samples collected as hand specimens from a pile of platy corals lying adjacent to the outcrop. ","macrofossils,mesofossils,microfossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,,,,,,,,"Specimens were collected in June 2011 during the second field season of the Throughflow Project from a muddy carbonate deposit exposed in a road cut, designated TF153 and known colloquially as the ‘Rainy Section’ ",
145900,col,,17.00111,48.168331,"Sibenicnik Hill, Devín-Šibeniný vrch",,,6,Badenian,,13.65,12.7,Hyzny et al.,2012,47174,SK,,,stated in text,seconds,outcrop,SE of Devín on the southern slope of the Šibeniník Hill,gp_mid,19.12,44.81,308,SK,,,,Lower Mbr (),member,,,,,,,,Late Badenian,unsorted clastics (conglomerates),conglomerate,,,,,,,,,,perireef or subreef,,"coarse sand, breccias","macrofossils,mesofossils,microfossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
